,Unnamed: 0,tweet,hashtags,label
0,0,ro system which wr part farmer protest r instal zira sanjha morcha toxic pollution malbros,"['FarmersProtest', 'ZiraSanjhaMorcha']",0
1,1,who talk double income not even able give respect fund farmer apart po,[],0
2,2,darshan singh dhaliwal deny entry delhi amp deport back chigaco activity relate farmer,['DarshanSinghDhaliwal'],0
3,3,tension erupt farmer protest kamareddy try siege collectorate office break police barri,"['FarmersProtest', 'Kamareddy']",1
4,4,speak loud support zira sanjha morcha zira sanjha morcha farmer protest,"['ZiraSanjhaMorcha', 'FarmersProtest']",1
5,5,successfully waste month leadership modi ji mann ki baat,"['MannKiBaat', 'विकास_की_मेट्रो']",0
6,6,amaze moment jumla nahin msp no farmer no food no vote bjp free de,"['काले_क़ानून_वापिस_लो', 'Jumla_Nahin_MSP_Do', 'NoFarmer_NoFood', 'ਕਿਸਾਨੀ_ਜਿੱਤੂ_ਮੋਦੀ_ਹਾਰੂ', 'NoVoteToBJP']",0
7,7,watch delhi protestors attack police red fort early today farmer protest,"['WATCH', 'FarmersProtest']",1
8,8,baki farmer protest vele ta iko kam kita careful bjp cell te hun menu lagda double karn,['FarmersProtest'],1
9,9,deny entry india support farmer protest dr darshan singh dhaliwal u pick pravasi bh,"['india', 'FarmersProtest']",0
10,10,add crore population centre cant deal already shaheen bagh,['ShaheenBagh'],1
11,11,still rise farmer protest mural calgary image source pjfmurals farmer protest,"['FarmersProtest', 'pjfmurals', 'FarmersProtest']",0
12,12,modi govt paddle lie jumlabaazi narrative promise make indian farmer farmer pro,"['Jumlabaazi', 'IndianFarmers']",1
13,13,modi govt paddle lie jumlabaazi narrative promise make ind,['Jumlabaazi'],1
14,14,reckon coach farmer stress level farm farmer protest,"['farming', 'FarmersProtest']",0
15,15,rember supreme court role shaheen bagh farmer protest aftermath hindu kill,"['SupremeCourt', 'ShaheenBagh', 'FarmersProtest']",1
16,16,sit shri akal ji good morning everyone farmer protest,"['गन्ने_का_भुगतान_करो', 'FarmersProtest']",0
17,17,usk agro science crop onion onion food foodphotography tomato healthyfood onion vegetable farmer agriculture,"['onion', 'food', 'foodphotography', 'tomato', 'healthyfood', 'onions', 'vegetables', 'farmers', 'agriculture']",0
18,18,usk agro science crop onion onion food foodphotography tomato healthyfood onion vegetable farmer,"['onion', 'food', 'foodphotography', 'tomato', 'healthyfood', 'onions', 'vegetables', 'farmers']",0
19,19,hollow claimsunrealistic promise farmer farmer protest farm bill agriculture doublein,"['Farmers', 'FarmersProtest', 'FarmBills', 'agriculture']",0
20,20,restore ops nothing fear fear ops msp ban evm want ops save cadre save ir,"['RestoreOPS', 'OPS', 'MSP', 'BanEVM', 'WeWantOPS', 'SAVE_IT_CADRE_SAVE_IR']",1
21,21,indian say thing protest farmer eat pizza own tractor amp luxury car farmersprotest http,['Farmersprotest'],1
22,22,justice right every individual want justice brutality happen farmersprotest sikh want khali,"['Farmersprotest', 'Sikhs']",1
23,23,must watch haldwani uttarakhand india lockdown demonetisation farmer protest,"['Haldwani', 'Uttarakhand', 'IndiaLockdown', 'Demonetisation', 'FarmersProtest']",1
24,24,tractor sale uganda tractor provider tractor farm agriculture machinery farmer protest equipment ka,"['tractor', 'farming', 'agriculture', 'machinery', 'FarmersProtest', 'equipment']",0
25,25,tractor company congo drc tractor tuesday farm farmer protest agriculture machinery vehicle kinshasa con,"['TractorTuesday', 'farming', 'FarmersProtest', 'agriculture', 'machinery', 'vehicle', 'Kinshasa']",0
26,26,telangana br party farmer protest mediafire ktr,"['Telangana', 'BRSParty', 'FarmersProtest', 'Mediafire', 'KTR']",0
27,27,almost year since kisanandolan believe one inspirational event recent time p,['kisanandolan'],0
28,28,massey ferguson tractor sale congo tractor pk tractor tuesday farm farmer protest machinery agriculture,"['TractorTuesday', 'farming', 'FarmersProtest', 'machinery', 'agriculture']",0
29,29,foodsecurity must become top priority say farmer union farmer protest farmer farmersmarket farmersday n,"['foodsecurity', 'farmers', 'union', 'FarmersProtest', 'farmer', 'farmersmarket', 'farmersday']",0
30,30,thank hard work humanity perhaps time retire no covid vaccine farmer protest,"['CovidVaccine', 'FarmersProtest']",0
31,31,think cm sleep wantedly ignore farmer not take,['farmers'],1
32,32,thank hard work humanity perhaps time retire no covid vaccine farmer protest meat safethecows,"['CovidVaccine', 'FarmersProtest', 'meat', 'safethecows']",0
33,33,1,"['OPS', 'MSP', 'BanEVM', 'WeWantOPS', 'SAVE_ITCADRE_SAVE_IR', 'BanEVM_Save_India']",1
34,34,stop privatization let perseverance engine hope fuel ops msp ban evm want ops save itcadre save,"['StopPrivatization', 'OPS', 'MSP', 'BanEVM', 'WeWantOPS']",1
35,35,zira sanjha morcha let perseverance engine hope fuel ops msp ban evm want ops save itcadre save ir,"['ZiraSanjhaMorcha', 'OPS', 'MSP', 'BanEVM', 'WeWantOPS', 'SAVE_ITCADRE_SAVE_IR']",1
36,36,ban evm new begin often disguise painful end ops msp want ops save itcadre save ir ban evm save,"['BanEVM', 'OPS', 'MSP', 'WeWantOPS', 'SAVE_ITCADRE_SAVE_IR']",1
37,37,constitutional right ops let perseverance engine hope fuel ops msp ban evm want ops save itcadre,"['ConstitutionalRightOPS', 'OPS', 'MSP', 'BanEVM', 'WeWantOPS']",1
38,38,zira sanjha morcha perseverance determination alone omnipotent ops msp ban evm want ops save itcadre save,"['ZiraSanjhaMorcha', 'OPS', 'MSP', 'BanEVM', 'WeWantOPS']",1
39,39,problem chance best ops msp ban evm want ops save itcadre save ir,"['पुरानी_पेंशन_बहाल_करो', 'OPS', 'MSP', 'BanEVM', 'WeWantOPS', 'SAVE_ITCADRE_SAVE_IR']",1
40,40,netherlands dutch farmer drop truth agenda asset grab land no farm no food farmer protes,['NoFarmsNoFood'],0
41,41,sit shri akal ji good morning everyone zira sanjha morcha farmersprotest,"['ZiraSanjhaMorcha', 'Farmersprotest']",0
42,42,foodsecurity must become top priority say farmer union farmer protest farmer farmersmarket,"['foodsecurity', 'farmers', 'union', 'FarmersProtest', 'farmer', 'farmersmarket']",0
43,43,massey ferguson tractor sale congo tractor pk tractor tuesday farm farmer protest machinery,"['TractorTuesday', 'farming', 'FarmersProtest', 'machinery']",0
44,44,product link store bio link redbubble esty lifestyle ro,"['redbubble', 'esty', 'lifestyle']",0
45,45,rajasthan farmer protest bharat jodo demand loan waiver rajasthan bharat joda yatra farmer protest rea,"['Rajasthan', 'BharatJodaYatra', 'FarmersProtest']",0
46,46,kangana ke lie security aur farmer ke lie why security farmer protest farmersabove politics neverforgethum,"['FarmersProtest', 'farmersabovePolitics']",0
47,47,kisan sabha oppose increase electricity rate name vca chattisgarh kisan sabha say increase r,['KisanSabha'],0
48,48,kisanofindia kisanandolan farmersprotest give respect food provider,"['kisanofindia', 'kisanandolan', 'Farmersprotest']",0
49,49,ban evm problem chance best ops msp ban evm want ops save itcadre save ir ban evm save,"['BanEVM', 'OPS', 'MSP', 'BanEVM', 'WeWantOPS', 'SAVE_ITCADRE_SAVE_IR']",1
50,50,netherlands thousand farmer could force sell farm land state within next year wi,['Netherlands'],0
51,51,np black day new begin often disguise painful end ops msp ban evm want ops save itcadre save ir,"['NPS_Black_Day', 'OPS', 'MSP', 'BanEVM', 'WeWantOPS', 'SAVE_ITCADRE_SAVE_IR']",1
52,52,mp labour party say christian,"['MP', 'LabourParty', 'Christian']",0
53,53,restore ops problem chance best ops msp ban evm want ops save itcadre save ir ban evm sav,"['RestoreOPS', 'OPS', 'MSP', 'BanEVM', 'WeWantOPS', 'SAVE_ITCADRE_SAVE_IR']",1
54,54,restore old pension problem chance best ops msp ban evm want ops save itcadre save ir ba,"['RestoreOldPension', 'OPS', 'MSP', 'BanEVM', 'WeWantOPS', 'SAVE_ITCADRE_SAVE_IR']",1
55,55,save itcadre save ir perseverance determination alone omnipotent ops msp ban evm want ops ban evm save indi,"['SAVE_ITCADRE_SAVE_IR', 'OPS', 'MSP', 'BanEVM', 'WeWantOPS']",1
56,56,restore old pension let perseverance engine hope fuel ops msp ban evm want ops save itcadre save,"['RestoreOldPension', 'OPS', 'MSP', 'BanEVM', 'WeWantOPS']",1
57,57,ban evm save india let perseverance engine hope fuel ops msp ban evm want ops save itcadre save,"['BanEVM_Save_India', 'OPS', 'MSP', 'BanEVM', 'WeWantOPS']",1
58,58,farmersprotest problem chance best ops msp ban evm want ops save itcadre save ir ban ev,"['Farmersprotest', 'OPS', 'MSP', 'BanEVM', 'WeWantOPS', 'SAVE_ITCADRE_SAVE_IR']",1
59,59,mp labour party say,"['MP', 'LabourParty']",0
60,60,problem chance best ops msp ban evm want ops save itcadre save,"['महंगाई_डायन_खाय_जात_है', 'OPS', 'MSP', 'BanEVM', 'WeWantOPS']",1
61,61,want ops problem chance best ops msp ban evm save itcadre save ir ban evm save india r,"['WeWantOPS', 'OPS', 'MSP', 'BanEVM', 'SAVE_ITCADRE_SAVE_IR', 'BanEVM_Save_India']",1
62,62,forget double income many farmer struggle make live sustain farm liar pm farmer protest,"['LiarPM', 'FarmersProtest']",0
63,63,india sale let perseverance engine hope fuel ops msp ban evm want ops save itcadre save ir ban e,"['IndiaOnSale', 'OPS', 'MSP', 'BanEVM', 'WeWantOPS', 'SAVE_ITCADRE_SAVE_IR']",1
64,64,painful farmer protest farmersday,"['FarmersProtest', 'farmersday']",0
65,65,restore ops perseverance determination alone omnipotent ops msp ban evm save itcadre save ir ban evm save,"['RestoreOPS', 'OPS', 'MSP', 'BanEVM', 'SAVE_ITCADRE_SAVE_IR']",1
66,66,new begin often disguise painful end ops msp ban evm want ops save itcadre save ir ban evm save,"['OPS', 'MSP', 'BanEVM', 'WeWantOPS', 'SAVE_ITCADRE_SAVE_IR']",1
67,67,year change farmer problem remain every year new year farmer zira sanjha morcha farmer prot,"['NewYearWithFarmers', 'ZiraSanjhaMorcha']",1
68,68,stop privatization problem chance best ops msp ban evm want ops save itcadre save ir ba,"['StopPrivatization', 'OPS', 'MSP', 'BanEVM', 'WeWantOPS', 'SAVE_ITCADRE_SAVE_IR']",1
69,69,new begin often disguise painful end ops msp ban evm want ops save itcadre,"['पुरानी_पेंशन_बहाल_करो', 'OPS', 'MSP', 'BanEVM', 'WeWantOPS']",1
70,70,want ops let perseverance engine hope fuel ops msp ban evm want ops save itcadre save ir ban ev,"['WeWantOPS', 'OPS', 'MSP', 'BanEVM', 'WeWantOPS', 'SAVE_ITCADRE_SAVE_IR']",1
71,71,want ops new begin often disguise painful end ops msp ban evm save itcadre save ir ban evm save,"['WeWantOPS', 'OPS', 'MSP', 'BanEVM', 'SAVE_ITCADRE_SAVE_IR']",1
72,72,save itcadre save ir let perseverance engine hope fuel ops msp ban evm want ops ban evm save india,"['SAVE_ITCADRE_SAVE_IR', 'OPS', 'MSP', 'BanEVM', 'WeWantOPS', 'BanEVM_Save_India']",1
73,73,constitutional right ops triumph cant without struggle ops msp ban evm want ops save itcadre save ir,"['ConstitutionalRightOPS', 'OPS', 'MSP', 'BanEVM', 'WeWantOPS', 'SAVE_ITCADRE_SAVE_IR']",1
74,74,shame time shaheenbagh farmersprotest,"['shaheenbagh', 'Farmersprotest']",1
75,75,farmer group show black flag hm amit shah visit mandya december th today pour blo,"['BlackFlag', 'AmitShah', 'Mandya']",0
76,76,today hastag youse please tweet retweet comment farmersprotest zira sanjha morcha,"['Farmersprotest', 'ZiraSanjhaMorcha']",0
77,77,may almighty bless who work acre not hour farmer protest human right,"['FarmersProtest', 'HumanRights']",0
78,78,since youre not aware farmer protest yet india together india propaganda fa,"['IndiaTogether', 'IndiaAgainstPropaganda']",0
79,79,farmersprotest problem chance best ops msp ban evm want ops,"['Farmersprotest', 'OPS', 'MSP', 'BanEVM', 'WeWantOPS']",1
80,80,ban evm save india hard time always lead something great ops msp ban evm want ops save itcadre save ir restore,"['BanEVM_Save_India', 'OPS', 'MSP', 'BanEVM', 'WeWantOPS', 'SAVE_ITCADRE_SAVE_IR']",1
81,81,ban evm hard time always lead something great ops msp ban evm want ops save itcadre save ir ban evm save india,"['BanEVM', 'OPS', 'MSP', 'BanEVM', 'WeWantOPS', 'SAVE_ITCADRE_SAVE_IR', 'BanEVM_Save_India']",1
82,82,ban evm triumph cant without struggle ops msp want ops save itcadre save ir ban evm save india rest,"['BanEVM', 'OPS', 'MSP', 'WeWantOPS', 'SAVE_ITCADRE_SAVE_IR', 'BanEVM_Save_India']",1
83,83,hypocrisy v democracy truth v bigotry n hype bank privatization economy job gdp crisis,"['BankPrivatization', 'Economy_Job_GDP_Crisis']",1
84,84,hypocrisy v democracy truth v bigotry n hype bank privatization,['BankPrivatization'],1
85,85,since youre not aware farmer protest yet india together,['IndiaTogether'],0
86,86,np black day let perseverance engine hope fuel ops msp ban evm want ops,"['NPS_Black_Day', 'OPS', 'MSP', 'BanEVM', 'WeWantOPS']",1
87,87,india sale let perseverance engine hope fuel ops msp ban evm want ops,"['IndiaOnSale', 'OPS', 'MSP', 'BanEVM', 'WeWantOPS']",1
88,88,restore ops let perseverance engine hope fuel ops msp ban evm want ops,"['RestoreOPS', 'OPS', 'MSP', 'BanEVM', 'WeWantOPS']",1
89,89,want ops let perseverance engine hope fuel ops msp ban evm want ops,"['WeWantOPS', 'OPS', 'MSP', 'BanEVM', 'WeWantOPS']",1
90,90,two year back road modi time kejriwal farmer protest zira protest,"['FarmersProtest', 'ZiraProtest']",1
91,91,let see one emerge issue food security food fact climate crisis climate scam elite,"['EmergingIssue', 'FoodSecurity', 'Food', 'ClimateCrisis', 'ClimateScam', 'Elites']",0
92,92,government always bend vandalise mob shah bano caa farmer protest e,"['ShahBano', 'CAA', 'FarmersProtest']",0
93,93,sunday special whether india european union america agriculture continue grip,"['SundaySpecial', 'EuropeanUnion', 'America', 'agriculture']",0
94,94,sit shri akal ji good morning everyone new year farmer farmer protest,"['NewYearWithFarmers', 'FarmersProtest']",0
95,95,ops msp ban evm want ops struggle invitation nature who accept move forward,"['OPS', 'MSP', 'BanEVM', 'WeWantOPS']",1
96,96,protest punjab life time farmer protest new year farmer,"['FarmersProtest', 'NewYearWithFarmers']",0
97,97,zira farmer protest nu gaalan denda hoya ek u abuse not farmer lala ji show sanghi colour,"['Zira', 'FarmersProtest']",1
98,98,time come new zealand dunedin christchurch nelson politicsnz invercargill blenheim westcoast timaru ash,"['NewZealand', 'Dunedin', 'Christchurch', 'Nelson', 'politicsnz', 'Invercargill', 'Blenheim', 'Westcoast', 'Timaru']",0
99,99,st december amp farmer still wait legalisation msp fulfill pro,['MSP'],0
