user_screen_name,created_at,text,hashtags,user_name,user_location,retweet_count,favorite_count
Bhupinder295,2023-01-06 04:47:19+00:00,"RT @Tractor2twitr_P: RO systems which wr once part of #FarmersProtest r being installed in #ZiraSanjhaMorcha .

Toxic pollution by Malbros…","['FarmersProtest', 'ZiraSanjhaMorcha']",BhupindƎr,"Mansa, India",51,0
Cultural_Pendu,2023-01-06 04:46:52+00:00,"RT @_MohitGahlot_: Those who talk of doubling the income, are not even able to give their respect fund to the farmers...

Apart from the po…",[],Pendu,,3,0
Jag22946452,2023-01-06 04:44:09+00:00,"RT @Tractor2twitr_P: RO systems which wr once part of #FarmersProtest r being installed in #ZiraSanjhaMorcha .

Toxic pollution by Malbros…","['FarmersProtest', 'ZiraSanjhaMorcha']",I AM,,51,0
Aman_Kaur45,2023-01-06 04:40:47+00:00,"RT @_MohitGahlot_: Those who talk of doubling the income, are not even able to give their respect fund to the farmers...

Apart from the po…",[],ਅਮਨਦੀਪ ਕੌਰ🌾,,3,0
Sandhu_Deep1,2023-01-06 04:34:05+00:00,"RT @_MohitGahlot_: Those who talk of doubling the income, are not even able to give their respect fund to the farmers...

Apart from the po…",[],Deep Sandhu 2.0,Australia ,3,0
jodhSin19479606,2023-01-06 04:33:05+00:00,"RT @Tractor2twitr_P: RO systems which wr once part of #FarmersProtest r being installed in #ZiraSanjhaMorcha .

Toxic pollution by Malbros…","['FarmersProtest', 'ZiraSanjhaMorcha']",jodh Singh,,51,0
WayneSahab,2023-01-06 04:24:45+00:00,"RT @IndicSociety: In 2021, #DarshanSinghDhaliwal was denied entry at Delhi &amp; deported back to Chigaco for activities related to the #Farmer…",['DarshanSinghDhaliwal'],Ravi Singh,"Katihar, India",104,0
GurjindrDhillon,2023-01-06 04:17:15+00:00,"RT @Tractor2twitr_P: RO systems which wr once part of #FarmersProtest r being installed in #ZiraSanjhaMorcha .

Toxic pollution by Malbros…","['FarmersProtest', 'ZiraSanjhaMorcha']",Gurjinder Dhillon,"Amritsar, India",51,0
rubusmubu,2023-01-06 04:10:04+00:00,"RT @jsuryareddy: Tension erupts after #FarmersProtest in #Kamareddy and tried to siege of the Collectorate office, after broke police barri…","['FarmersProtest', 'Kamareddy']",Mubashir,Dunia ,3,0
Murti_Nain,2023-01-06 04:04:05+00:00,"RT @Tractor2twitr_P: RO systems which wr once part of #FarmersProtest r being installed in #ZiraSanjhaMorcha .

Toxic pollution by Malbros…","['FarmersProtest', 'ZiraSanjhaMorcha']",𝙈𝙪𝙧𝙩𝙞 𝙉𝙖𝙞𝙣,𝙃𝙖𝙧𝙮𝙖𝙣𝙖,51,0
jai28prakash,2023-01-06 04:02:07+00:00,"RT @Tractor2twitr_P: RO systems which wr once part of #FarmersProtest r being installed in #ZiraSanjhaMorcha .

Toxic pollution by Malbros…","['FarmersProtest', 'ZiraSanjhaMorcha']",जन-गण-मन,दिल्ली,51,0
SonuKadiyan1221,2023-01-06 04:01:37+00:00,"RT @IndicSociety: In 2021, #DarshanSinghDhaliwal was denied entry at Delhi &amp; deported back to Chigaco for activities related to the #Farmer…",['DarshanSinghDhaliwal'],SONU JEE- /वट दी फौक/,Hanumanji Ke charno me 🙏🙏🙏,104,0
SavvyGuy1,2023-01-06 03:58:31+00:00,"RT @IndicSociety: In 2021, #DarshanSinghDhaliwal was denied entry at Delhi &amp; deported back to Chigaco for activities related to the #Farmer…",['DarshanSinghDhaliwal'],Sanātanī Guy,Earth,104,0
