,tweet,hashtags,label
0,pil file twitter promote khalistan good initiative sikh community try sa,"['PIL', 'Twitter', 'Khalistan', 'SikhCommunity']",1
1,pakistan around partition weve never see efore photograph colour ehsan rehan first photograph gurdwara,"['Pakistan', 'Gurdwara']",0
2,pannun no shame leave,"['Pannun', 'Khalistan']",1
3,pannun pakistani puppet who work pakistan see indian sikh answer referendum shame,['Shame'],0
4,no khalistan khai garage dear sikh quick realise pannun,"['Khalistan', 'Khai']",0
5,pannun not listen real sikh imaginary world doesnt care aout sikh community,"['Pannun', 'RealSikhs', 'SikhCommunity']",0
6,sikh justice een mislead sikh community name khalistan support pakistan,['Khalistan'],0
7,gherao sept truck rally day modi solution farmersill sfj khalistan register,"['TruckRally', 'Modi', 'Farmersbill2020', 'SFJ', 'Khalistan', 'Register']",1
8,pig india no no not regular pig who demand loha sharia ut pig who demand,['India'],1
9,gherao sept truck rally day modi solution farmersill sfj khalistan,"['TruckRally', 'Modi', 'Farmersbill2020', 'SFJ', 'Khalistan']",1
10,mp arrs journalist view tweet mean mp scar eing hold accountale,[],0
11,what would call video watch tight slap dose humiliation sfj khalistani separ,"['SFJ', 'KhalistaniSepar']",0
12,fight khalistan result mainly two thing carnage innocent people resurgence hatred soci,['Khalistan'],0
13,namaste invite watch late video terry milewski report expose pakistan role khalistan move,"['Terry', 'Pakistan', 'Khalistan']",0
14,farmer register vote octoer maximum register vote get grant money sfj,[],1
15,like fail agenda pannun door door campaign go e super failure nahi chahida k,"['Pannun', 'door', 'NahiChahidaK']",0
16,no way leave modi except may free kashmir vacant space way,['Modi'],1
17,mr pannun what real indian sikh want sikh inseparale part india proud e,"['Sikh', 'India']",0
18,canadian thinktank recently pulished report which argue khalistan separatist movement project,['Khalistan'],1
19,exclusive break news khalistani supporter video show khalistan not suject,"['Breaking', 'KhalistaniSupporters', 'Khalistan']",1
20,solution farmersill khalistan sfj modi register vote,"['farmersbill2020', 'khalistan', 'sfj', 'modi', 'Register2Vote2020']",1
21,cm gherao modi truck rally th sept solution farmersill sfj khalistan,"['Modi', 'TruckRally', 'Farmersbill2020', 'SFJ', 'Khalistan']",1
22,please stop rally cm gherao modi truck rally th sept solution,"['Modi', 'TruckRally']",1
23,punja deep sht cm talk amp ehaving like goongetting chakka jam rail roko do,['Punjab'],0
24,solution farmersill sfj khalistan th septemer get ready,"['Farmersbill2020', 'SFJ', 'Khalistan']",1
25,cm gherao modi truck rally th sept solution farmersill sfj,"['Modi', 'TruckRally', 'Farmersbill2020', 'SFJ']",1
26,oops what happen video go reak every khalistanis dream socalled khalistan,"['Khalistanis', 'Khalistan']",0
27,cm solution farmersill sfj khalistan register vote khalistan,"['Farmersbill2020', 'SFJ', 'Khalistan']",1
28,punja farmer sikh punja show power modi protest policy ge,"['PunjabFarmers', 'Modi']",1
29,get ready gherao modi truck rally th sept solution farmersill suffer farmer,"['GheraoModi', 'TruckRally', 'Farmersbill2020']",1
